tweet_id,img_num,predicted_breed,confidence_score,is_dog,timestamp,text,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,retweet_count,favorite_count
666020888022790149,14,Welsh_springer_spaniel,0.465074,True,2015-11-15 22:32:08+00:00,here we have a japanese irish setter. lost eye in vietnam (?). big fan of relaxing on stair. 8/10 would pet https://t.co/bldqew2ijj,8,10,None,None,None,None,None,423,2293
666029285002620928,14,redbone,0.506826,True,2015-11-15 23:05:30+00:00,this is a western brown mitsubishi terrier. upset about leaf. actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mob2m0ui,10,10,a,None,None,None,None,39,112
666033412701032449,14,German_shepherd,0.596461,True,2015-11-15 23:21:54+00:00,here is a very happy pup. big fan of well-maintained decks. just look at that tongue. 9/10 would cuddle af https://t.co/y671ymhoir,14,10,a,None,None,None,None,36,100
666044226329800704,14,Rhodesian_ridgeback,0.408143,True,2015-11-16 00:04:52+00:00,this is a purebred piers morgan. loves to netflix and chill. always looks like he forgot to unplug the iron. 6/10 https://t.co/dwnycjf2mx,6,10,a,None,None,None,None,115,247
666049248165822465,14,miniature_pinscher,0.560311,True,2015-11-16 00:24:50+00:00,here we have a 1949 1st generation vulpix. enjoys sweat tea and fox news. cannot be phased. 5/10 https://t.co/4b7coc1edq,5,10,None,None,None,None,None,37,89
666050758794694657,14,Bernese_mountain_dog,0.651137,True,2015-11-16 00:30:50+00:00,this is a truly beautiful english wilson staff retriever. has a nice phone. privileged. 10/10 would trade lives with https://t.co/fvibqfhjie,10,10,a,None,None,None,None,11,115
666051853826850816,14,box_turtle,0.933012,False,2015-11-16 00:35:11+00:00,this is an odd dog. hard on the outside but loving on the inside. petting still fun. doesn't play catch well. 2/10 https://t.co/v5a4vzsddc,2,10,an,None,None,None,None,704,1027
666055525042405380,14,chow,0.692517,True,2015-11-16 00:49:46+00:00,here is a siberian heavily armored polar bear mix. strong owner. 10/10 i would do unspeakable things to pet this dog https://t.co/rdivxliqet,10,10,a,None,None,None,None,196,367
666057090499244032,14,shopping_cart,0.962465,False,2015-11-16 00:55:59+00:00,my oh my. this is a rare blond canadian terrier on wheels. only $8.98. rather docile. 9/10 very rare https://t.co/ywbqbrzy8o,14,10,a,None,None,None,None,112,247
666058600524156928,14,miniature_poodle,0.201493,True,2015-11-16 01:01:59+00:00,here is the rand paul of retrievers folks! he's probably good at poker. can drink beer (lol rad). 8/10 good dog https://t.co/pyajkae76p,8,10,the,None,None,None,None,47,11
666063827256086533,14,golden_retriever,0.77593,True,2015-11-16 01:22:45+00:00,this is the happiest dog you will ever see. very committed owner. nice couch. 10/10 https://t.co/rhuealoehk,10,10,the,None,None,None,None,180,399
666071193221509120,14,Gordon_setter,0.503672,True,2015-11-16 01:52:02+00:00,here we have a northern speckled rhododendron. much sass. gives 0 fucks. good tongue. 9/10 would caress sensually https://t.co/zol8kq2xfx,14,10,None,None,None,None,None,51,127
666073100786774016,14,Walker_hound,0.260857,True,2015-11-16 01:59:36+00:00,let's hope this flight isn't malaysian (lol). what a dog! almost completely camouflaged. 10/10 i trust this pilot https://t.co/yk6ghe9toy,10,10,None,None,None,None,None,132,274
666082916733198337,14,pug,0.489814,True,2015-11-16 02:38:37+00:00,here we have a well-established sunblockerspaniel. lost his other flip-flop. 6/10 not very waterproof https://t.co/3ru6x0vhb7,6,10,None,None,None,None,None,37,93
666094000022159362,14,bloodhound,0.195217,True,2015-11-16 03:22:39+00:00,this appears to be a mongolian presbyterian mix. very tired. tongue slip confirmed. 9/10 would lie down with https://t.co/mnioxo3ifp,14,10,None,None,None,None,None,63,143
666099513787052032,14,Lhasa,0.58233,True,2015-11-16 03:44:34+00:00,can stand on stump for what seems like a while. built that birdhouse? impressive. made friends with a squirrel. 8/10 https://t.co/ri4nmtlq5c,8,10,None,None,None,None,None,53,134
666102155909144576,14,English_setter,0.298617,True,2015-11-16 03:55:04+00:00,oh my. here you are seeing an adobe setter giving birth to twins!!! the world is an amazing place. 11/10 https://t.co/11lvqn4wlq,11,10,None,None,None,None,None,11,66
666104133288665088,14,hen,0.965932,False,2015-11-16 04:02:55+00:00,not familiar with this breed. no tail (weird). only 2 legs. doesn't bark. surprisingly quick. shits eggs. 1/10 https://t.co/asgdc6kulx,14,10,None,None,None,None,None,5488,12898
666268910803644416,14,desktop_computer,0.086502,False,2015-11-16 14:57:41+00:00,very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxapiikpk,10,10,None,None,None,None,None,38,100
666273097616637952,14,Italian_greyhound,0.176053,True,2015-11-16 15:14:19+00:00,can take selfies 11/10 https://t.co/ws2amanwpw,11,10,None,None,None,None,None,68,152
666287406224695296,14,Maltese_dog,0.8575309999999999,True,2015-11-16 16:11:11+00:00,this is an albanian 3 1/2 legged  episcopalian. loves well-polished hardwood flooring. penis on the collar. 9/10 https://t.co/d9ncxfkwlv,14,10,an,None,None,None,None,57,123
666293911632134144,14,three-toed_sloth,0.914671,False,2015-11-16 16:37:02+00:00,this is a funny dog. weird toes. won't come down. loves branch. refuses to eat his food. hard to cuddle with. 3/10 https://t.co/iixis0zta0,3,10,a,None,None,None,None,290,426
666337882303524864,14,ox,0.4166689999999999,False,2015-11-16 19:31:45+00:00,this is an extremely rare horned parthenon. not amused. wears shoes. overall very nice. 9/10 would pet aggressively https://t.co/qprjllzwal,14,10,an,None,None,None,None,79,168
666345417576210432,14,golden_retriever,0.8587440000000001,True,2015-11-16 20:01:42+00:00,look at this jokester thinking seat belt laws don't apply to him. great tongue tho 10/10 https://t.co/vfkg1vxgjb,10,10,None,None,None,None,None,124,244
666353288456101888,14,malamute,0.3368739999999999,True,2015-11-16 20:32:58+00:00,here we have a mixed asiago from the galápagos islands. only one ear working. big fan of marijuana carpet. 8/10 https://t.co/tltq5w9auo,8,10,None,None,None,None,None,58,179
